date,open,high,low,close,volume,symbol
2024-04-09,1252.4,1262.82,1247.7,1262.82,648177200.0,VNINDEX
2024-04-08,1255.37,1258.4,1246.87,1250.35,790344900.0,VNINDEX
2024-04-05,1258.58,1265.14,1253.56,1255.11,1040744955.0,VNINDEX
2024-04-04,1271.87,1277.62,1265.12,1268.25,921606498.0,VNINDEX
2024-04-03,1285.3,1288.99,1271.47,1271.47,995889194.0,VNINDEX
2024-04-02,1276.38,1287.04,1268.48,1287.04,1031022100.0,VNINDEX
2024-04-01,1282.84,1286.8,1274.09,1281.52,899388445.0,VNINDEX
2024-03-29,1292.7,1292.75,1282.44,1284.09,796634597.0,VNINDEX
2024-03-28,1293.03,1293.9,1285.52,1290.18,888387914.0,VNINDEX
2024-03-27,1286.34,1286.72,1276.95,1283.09,803249597.0,VNINDEX
2024-03-26,1267.95,1282.5,1264.42,1282.21,858410797.0,VNINDEX
2024-03-25,1278.86,1286.84,1264.51,1267.86,1165944799.0,VNINDEX
2024-03-22,1281.56,1291.27,1276.38,1281.8,1180760297.0,VNINDEX
2024-03-21,1269.96,1276.42,1264.2,1276.42,1135242297.0,VNINDEX
2024-03-20,1243.79,1261.55,1235.46,1260.08,859094599.0,VNINDEX
2024-03-19,1246.54,1249.75,1238.92,1242.46,782529595.0,VNINDEX
2024-03-18,1266.11,1269.9,1221.67,1243.56,1616423591.0,VNINDEX
2024-03-15,1263.76,1271.63,1252.36,1263.78,1008834596.0,VNINDEX
2024-03-14,1276.0,1276.41,1258.67,1264.26,1021280996.0,VNINDEX
2024-03-13,1250.2,1270.51,1247.64,1270.51,890291796.0,VNINDEX
2024-03-12,1235.4,1248.33,1233.14,1245.0,792213293.0,VNINDEX
2024-03-11,1248.32,1254.01,1233.49,1235.49,922753297.0,VNINDEX
2024-03-08,1272.62,1274.3,1247.35,1247.35,1308498300.0,VNINDEX
2024-03-07,1263.23,1269.88,1260.24,1268.46,948313679.0,VNINDEX
2024-03-06,1269.8,1277.51,1256.3,1262.73,1042550953.0,VNINDEX
2024-03-05,1262.89,1269.98,1257.81,1269.98,927988078.0,VNINDEX
2024-03-04,1264.07,1268.25,1256.54,1261.41,1060758964.0,VNINDEX
2024-03-01,1256.72,1258.76,1247.87,1258.28,891207771.0,VNINDEX
2024-02-29,1259.59,1264.39,1247.7,1252.73,1012951595.0,VNINDEX
2024-02-28,1241.77,1254.55,1236.32,1254.55,899521191.0,VNINDEX
2024-02-27,1228.93,1237.6,1226.49,1237.46,916784879.0,VNINDEX
2024-02-26,1212.93,1225.21,1210.52,1224.17,834749896.0,VNINDEX
2024-02-23,1230.3,1240.81,1211.55,1212.0,1327429358.0,VNINDEX
2024-02-22,1229.85,1232.09,1226.15,1227.31,795921654.0,VNINDEX
2024-02-21,1231.78,1234.22,1222.92,1230.04,886283799.0,VNINDEX
2024-02-20,1227.75,1230.47,1222.66,1230.06,843737899.0,VNINDEX
2024-02-19,1213.24,1225.48,1212.58,1224.97,975154797.0,VNINDEX
2024-02-16,1204.9,1210.25,1204.29,1209.7,783875499.0,VNINDEX
2024-02-15,1203.08,1207.56,1198.81,1202.5,843733099.0,VNINDEX
2024-02-07,1190.51,1199.52,1190.5,1198.53,664714299.0,VNINDEX
2024-02-06,1189.08,1190.92,1185.68,1188.48,566198900.0,VNINDEX
2024-02-05,1174.22,1188.45,1173.54,1186.06,769980098.0,VNINDEX
2024-02-02,1173.93,1178.27,1169.7,1172.55,790605931.0,VNINDEX
2024-02-01,1162.78,1174.5,1162.45,1173.02,578639354.0,VNINDEX
2024-01-31,1181.62,1182.53,1163.13,1164.31,1023847799.0,VNINDEX
2024-01-30,1176.02,1179.92,1174.13,1179.65,564656361.0,VNINDEX
2024-01-29,1177.23,1180.46,1174.88,1175.69,552811296.0,VNINDEX
2024-01-26,1173.43,1176.76,1173.43,1175.67,561824219.0,VNINDEX
2024-01-25,1173.58,1173.83,1168.5,1170.37,538172159.0,VNINDEX
2024-01-24,1175.58,1180.3,1172.0,1172.97,720500188.0,VNINDEX
2024-01-23,1183.96,1184.74,1173.78,1177.5,673842214.0,VNINDEX
2024-01-22,1186.29,1186.96,1175.54,1182.86,871962100.0,VNINDEX
2024-01-19,1171.5,1181.5,1171.47,1181.5,630781700.0,VNINDEX
2024-01-18,1164.32,1169.73,1162.62,1169.06,569563599.0,VNINDEX
2024-01-17,1161.95,1168.46,1160.45,1162.53,694214315.0,VNINDEX
2024-01-16,1150.31,1163.12,1147.71,1163.12,570974548.0,VNINDEX
2024-01-15,1159.37,1163.75,1154.12,1154.12,559640596.0,VNINDEX
2024-01-12,1154.91,1161.91,1146.75,1154.7,1038665399.0,VNINDEX
2024-01-11,1162.49,1169.1,1157.43,1162.22,787237200.0,VNINDEX
2024-01-10,1158.79,1166.1,1155.94,1161.54,936249400.0,VNINDEX
2024-01-09,1161.71,1162.83,1155.46,1158.59,799457699.0,VNINDEX
2024-01-08,1159.42,1162.56,1155.48,1160.19,814410599.0,VNINDEX
2024-01-05,1152.37,1155.84,1149.08,1154.68,760268299.0,VNINDEX
2024-01-04,1145.49,1160.08,1144.32,1150.72,1141646899.0,VNINDEX
2024-01-03,1130.53,1144.17,1128.32,1144.17,657568096.0,VNINDEX
2024-01-02,1136.39,1139.71,1128.69,1131.72,778092693.0,VNINDEX
2023-12-29,1131.75,1135.05,1129.93,1129.93,621075896.0,VNINDEX
2023-12-28,1122.57,1130.58,1120.5,1128.93,614925999.0,VNINDEX
